sku,product_id,name,quantity,orders,revenue,estimated_cost,gross_profit,margin_percent,stock
TPJ/AS*BR1,342716910,Assento Sanitário Oval Universal Soft Branco Astra,153.0,135,5732.64,3060.0,2672.64,46.62,0.0
03080.2050.10,344671209,Rodizio Transparente 50MM COM Freio Chapa Giratorio Niquel Soprano,136.0,42,1513.64,561.68,951.96,62.89,0.0
03080.3050.10,344670767,Rodizio Transparente 50MM SEM Freio Chapa Giratorio Niquel Soprano,112.0,38,1111.74,399.84,711.9,64.03,0.0
ved-80-nh,353731878,Rodo Vedante Borracha Friso Porta Aluminio 80cm Vivaliz,62.0,41,1544.91,620.0,924.91,59.87,0.0
TAJ/AS*BR1-NOVO,341484398,Assento Sanitário Almofadado Slim Branco Astra,57.0,51,4286.35,2567.28,1719.07,40.11,0.0
00,341683965,Caixa Ferramentas Bau Reto N00 30x13x10 C/ Bandeja Fercar,52.0,44,2946.78,1536.6,1410.18,47.85,0.0
1C7Q-LKUU-0BA3,342902653,Rodízio Transparente 035mm Freio Chapa Giratória Soprano,38.0,6,364.0,118.56,245.44,67.43,0.0
A21,342849443,Armário Banheiro A21 28.4x40.8x9.5cm Branco Porta Correr Astra,33.0,30,2622.7,815.43,1807.27,68.91,0.0
RODOVED100,353732039,Rodo Vedante Borracha Friso Porta Aluminio 100cm Vivaliz,22.0,14,612.78,220.0,392.78,64.1,0.0
178970678530,353732774,Cofrinho Infantil Segredo Senha Moedas Cédulas Fercar,22.0,18,605.16,219.12,386.04,63.79,0.0
TTH-K*BCO-01,360774093,Assento Sanitário Almofadado Thema/Hawaii/Arezzon/Valentina Branco Astra,21.0,20,2898.0,2099.79,798.21,27.54,0.0
JFQFCQ67,353711354,Cachepot Floreira Flat Vaso 67(17l) 22x67cm Cimento Queimado Japi,19.0,8,4403.37,2174.36,2229.01,50.62,0.0
JFQFPA57,353702017,Cachepot Floreira Flat Vaso 57(6l) 15x57cm Preto Ardosi Japi,19.0,2,2489.0,484.88,2004.12,80.52,0.0
JFQFCQ57,353701891,Cachepot Floreira Flat Vaso 57 (6l)15x57cm Cimento Quei Japi,18.0,6,2101.2,1148.4,952.8,45.35,0.0
1C7Q-LKVS-MDOC,342902508,Rodizio de Gel Giratório com Freio 75mm Rolamento Soprano,18.0,5,354.16,180.0,174.16,49.18,0.0
JVCDB34,353676753,Vaso Decor Plantas Cilin Decore 34 (28l) Off White Japi,17.0,16,5780.62,3040.11,2740.51,47.41,0.0
COM1,353733822,"Comedouro Automatico Regulavel Caes Gatos 2,5 Kg Fercar",17.0,14,1249.54,699.38,550.16,44.03,0.0
C06TPT,353693038,Carrinho Fechado Ferramentas C06 3 Gavetas Todo Preto Fercar,16.0,16,19388.82,11316.16,8072.66,41.64,0.0
JFQFCQ77,353698710,Cachepot Floreira Flat Vaso 77(32l) 29x77cm Cimento Queimado Japi,16.0,8,5054.98,2560.0,2494.98,49.36,0.0
COM2,353733903,Comedouro Automatico Regulavel Caes Gatosv5 Kg Fercar,14.0,8,1847.12,867.16,979.96,53.05,0.0
JFQFAC57,353701556,Cachepot Floreira Flat Vaso 57(6l) 15x57cm Aço Corten Japi,12.0,6,1659.52,768.72,890.8,53.68,0.0
JFQFAC67,353734363,Cachepot Floreira Flat Vaso 67(17l) 22x67cm Aco Corten Japi,10.0,8,2106.0,850.7,1255.3,59.61,0.0
VED90UN,353731662,Rodo Vedante Borracha Friso Porta Aluminio 90 Cm Vivaliz,10.0,8,258.0,100.0,158.0,61.24,0.0
TVT/K-NOVO-2,361408120,Assento Sanitário Almofadado Avant/Fit/Versato/Angra Branco Astra,9.0,6,1215.0,90.0,1125.0,92.59,0.0
ved-70,353732318,Rodo Vedante Borracha Friso Porta Aluminio 70cm Vivaliz,9.0,6,222.9,90.0,132.9,59.62,0.0
16,341679995,Caixa Ferramentas Bau Reto N16 80x34x45cm C/ Bandeja Fercar,8.0,8,4934.16,2482.08,2452.08,49.7,0.0
JVAQMA44,360491489,Vaso Decorativo Plantas Antique 44 (70l) Macchiato Japi,8.0,6,3069.22,1481.92,1587.3,51.72,0.0
PCT-500,354887867,Pote Plástico 500ml Totalplast 24 Unidade Microondas Freezer,8.0,2,215.34,107.2,108.14,50.22,0.0
C08TPT,353736231,Carrinho Fechado Ferramentas C08 6 Gavetas Todo Preto Fercar,7.0,7,10618.52,6176.94,4441.58,41.83,0.0
JVAQAC44,360491615,Vaso Decorativo Plantas Antique 44 (70l) Aco Corten Japi,7.0,7,3015.85,1296.68,1719.17,57.0,0.0
14,341682319,Caixa Ferramentas Bau Reto N14 60x30x25cm C/ Bandeja Fercar,7.0,6,2244.32,991.83,1252.49,55.81,0.0
Sabatini,353733531,Assento Sanitário Almofadado Sabatini Astra,7.0,6,963.0,656.74,306.26,31.8,0.0
ADSABBR,361408689,Saboneteira Comadesivo Astra Branco Fixação Rapida - Branco,7.0,5,208.49,8.4,200.09,95.97,0.0
C06PT,353692956,Carrinho Fechado Ferramentas C06 3 Gavetas Preto Cinza Fercar,6.0,6,7255.8,3966.66,3289.14,45.33,0.0
JVCDE34,352312700,Vaso Decor Plantas Cilin Decore 34 (28l) Chumbo Japi,6.0,5,1941.5,1048.38,893.12,46.0,0.0
COM3,353733990,Comedouro Automatico Regulavel Caes Gatos 10 Kg Fercar,6.0,6,1190.58,490.8,699.78,58.78,0.0
C17S,342906622,Caixa Descarga Branca Elevada Regulável 9L Astra,6.0,6,365.37,34.08,331.29,90.67,0.0
Jatobadba,353697737,Massa F12 para Calafetar Madeira 400g Jatoba Viapol,6.0,5,149.4,63.06,86.34,57.79,0.0
V0210680,353698103,"Massa Paramadeira F-12 400G/0,225L Sucupira - Viapol",6.0,5,149.38,60.0,89.38,59.83,0.0
1C7Q-LKVS-MQQN,342902497,Rodizio de Gel Giratório Sem Freio 75mm Rolamento Soprano,6.0,3,110.64,60.0,50.64,45.77,0.0
JFQFE77,353698781,Cachepot Floreira Flat Vaso 77(32l) 29x77cm Chumbo Japi,5.0,3,1813.84,777.4,1036.44,57.14,0.0
JVCDAC34,350509721,Vaso Decor Plantas Cilin Decore 34 (28l) Aço Corten Japi,5.0,4,1734.02,903.9,830.12,47.87,0.0
JVCDPA34,341456124,Vaso Cilíndrico Decore 34 28L Preto Ardósia Japi,5.0,5,1460.22,602.6,857.62,58.73,0.0
6,341682112,Caixa Ferramentas Sanfonada 5 Gavetas 40x20x21 Cm N06 Fercar,5.0,5,782.29,463.45,318.84,40.76,0.0
C08VM,353736291,Carrinho Fechado Ferramentas C08 6 Gavetas Vermelh Cza Fercar,4.0,4,5861.64,3580.52,2281.12,38.92,0.0
C08TVM,353735022,Carrinho Fechado Ferramentas C08 6 Gavetas Td Vermelho Fercar,4.0,4,5435.96,3560.32,1875.64,34.5,0.0
ARM-08,342715215,Armário Ferramentas Duas Portas ARM-08 Fercar,4.0,4,2081.56,1052.44,1029.12,49.44,0.0
JVCDCQ34,352292111,Vaso Decor Plantas Cilin Decore 34 (28l) Cimento Queim Japi,4.0,4,1384.96,311.12,1073.84,77.54,0.0
JVAQCQ56,360491751,Vaso Decorativo Plantas Antique 56 (46l) Cimento Queim Japi,4.0,3,1055.88,0.0,0.0,0.0,0.0
13,341679483,Caixa Ferramentas Bau Reto N13 50x25x22 C/ Bandeja Fercar,4.0,3,846.42,381.84,464.58,54.89,0.0
Castanhodba,353697660,Massa F12 para Calafetar Madeira 400g Castanho Viapol,4.0,4,89.76,41.48,48.28,53.79,0.0
C08AZ,353735611,Carrinho Fechado Ferramentas C08 6 Gavetas Azul Cinza Fercar,3.0,3,4378.3,2700.0,1678.3,38.33,0.0
C06BR,362838492,Carrinho Fechado Ferramentas C06 3 Gavetas Branco Fercar,3.0,3,3675.57,0.0,0.0,0.0,0.0
JVTBPA32,353702856,Vaso Decorativo Planta Tribo Japi 43x32cm 32 Preto Ardósia,3.0,2,426.54,225.0,201.54,47.25,0.0
7323,341844061,Gancho/armador Rede de Embutir Inox Cromado 7323 Aliança,3.0,3,235.23,125.91,109.32,46.47,0.0
CAD-3050-FBACD,353691872,Cadeado Haste Longa Latão- Papaiz 30/50,3.0,3,159.25,56.91,102.34,64.26,0.0
FITAPERFAFBA,362847505,Abraçadeira Fita Perfurada 19mm x 10 Metros Aço Galvanizado,3.0,1,158.19,75.0,83.19,52.59,0.0
V0210685,353698195,Massa para Calafetar Madeira F12 Ipe 400g Viapol,3.0,3,78.3,28.41,49.89,63.72,0.0
V0210675,353698435,Massa F12 para Calafetar Madeira 400g Cerejeira Viapol,3.0,3,72.7,31.53,41.17,56.63,0.0
V0217760,353698023,"Massa Paramadeira F-12 400G/0,225L Angelim - Viapol",3.0,3,66.0,30.0,36.0,54.55,0.0
SKU-343577002,360491374,Chave Teste 140MM 100/500V,3.0,3,26.7,0.0,0.0,0.0,0.0
C08PT,353736360,Carrinho Fechado Ferramentas C08 6 Gavetas Preto Cinza Fercar,2.0,2,2937.76,1783.98,1153.78,39.27,0.0
JVAQAC55,352326295,Vaso Decorativo Plantas Antique 55 (75l) Aço Corten Japi,2.0,2,954.32,382.18,572.14,59.95,0.0
JVAQCQ55,360492094,Vaso Decorativo Plantas Antique 55 (75l) Cimento Queim Japi,2.0,2,944.39,0.0,0.0,0.0,0.0
JFQFAC77,353698620,Cachepot Floreira Flat Vaso 77(32l) 29x77cm Aco Corten Japi,2.0,1,737.7,320.0,417.7,56.62,0.0
JVAQAC56,360491873,Vaso Decorativo Plantas Antique 56 (46l) Aco Corten Japi,2.0,2,601.69,0.0,0.0,0.0,0.0
JVCDCQ33,352312595,Vaso Decor Plantas Cilin Decore 33 (16l) Cimento Queim Japi,2.0,2,550.0,310.0,240.0,43.64,0.0
9,353692294,Caixa Ferramentas Sanfonada 7 Gavetas 50x20x25 Cm N09 Fercar,2.0,2,517.22,254.0,263.22,50.89,0.0
N05,353692529,Caixa Ferramentas Sanfonada 3 Gavetas Vermelha 50x20x17cm N05 Fercar,2.0,2,314.0,148.0,166.0,52.87,0.0
COR5,353711631,Caixa Correio Vertical Trava para Grade/embutir COR5 Fercar,2.0,2,157.8,71.78,86.02,54.51,0.0
cr50,341488041,Cadeado Papaiz 50mm Latão 2 Chaves Dourado,2.0,1,156.0,72.0,84.0,53.85,0.0
COM4,353696981,Comedouro Aves Pássaros com Fruteira COM4 Fercar,2.0,2,150.06,80.22,69.84,46.54,0.0
23050,341723607,"Jogo Cinta Catraca Amarração 25mm X 4,6m 800kg Aquatools",2.0,1,96.9,34.0,62.9,64.91,0.0
KIT4R-SOPRÃO,341440872,KIT4R-SOPRÃO,2.0,2,90.0,4.7,85.3,94.78,0.0
350x8c,362838496,"Camara  ar 3,5 X 8 Colson",2.0,1,65.16,0.0,0.0,0.0,0.0
V0210636,353711479,Massa F12 para Calafetar Madeira 400g Imbuia Viapol,2.0,2,49.8,20.28,29.52,59.28,0.0
1C7Q-LKUT-WROG,,Massa para Calafetar Madeira F12 Ipe 400 g Viapol com 6,2.0,2,49.8,0.0,0.0,0.0,0.0
V0210643,353698363,Massa para Madeira F12 400g Cumaru Viapol,2.0,2,49.8,20.0,29.8,59.84,0.0
F12brancafba,,Padrão,2.0,2,45.8,0.0,0.0,0.0,0.0
V0210691,353697897,Massa F12 para Calafetar Madeira 400g Mogno Viapol,2.0,2,44.88,22.44,22.44,50.0,0.0
c08-vm,,Carrinho Fechado Nr. 08 Com 6 Gavetas Chaveado - Fercar-c08 - Vermelho,1.0,1,1479.0,0.0,0.0,0.0,0.0
C08BR,353735815,Carrinho Fechado Ferramentas C08 6 Gavetas Branco Fercar,1.0,1,1462.23,895.12,567.11,38.78,0.0
C06TVM,353693135,Carrinho Fechado Ferramentas C06 3 Gavetas Td Vermelho Fercar,1.0,1,1299.0,700.0,599.0,46.11,0.0
C06AZ,353692684,Carrinho Fechado Ferramentas C06 3 Gavetas Azul Cinza Fercar,1.0,1,1194.96,704.95,490.01,41.01,0.0
JVAQMA56,341534002,Vaso Decorativo Plantas Antique 56 (46l) Macchiato Japi,1.0,1,390.15,138.18,251.97,64.58,0.0
JVCDB33,352312377,Vaso Decor Plantas Cilin Decore 33 (16l) Off White Japi,1.0,1,299.0,155.0,144.0,48.16,0.0
JVCDPA33,352312277,Vaso Decor Planta Cilin Decore 33 (16l) Preto Ardósia Japi,1.0,1,282.45,155.0,127.45,45.12,0.0
D5-DKK7-TVWT,,Floreira FLAT 57 Preto Ardosia,1.0,1,154.08,0.0,0.0,0.0,0.0
4,352335653,Caixa Ferramentas Sanfonada 3 Gavetas 40x20x17 Cm N04 Fercar,1.0,1,130.36,66.0,64.36,49.37,0.0
CSD830FBA,353696687,Chave Liga/desliga/liga Margirius Csd-830 30a por Alavanca,1.0,1,124.36,80.0,44.36,35.67,0.0
03S,341681699,Caixa Ferramentas Sanfonada 3 Gavetas 20x30x17cm N03S Fercar,1.0,1,119.0,56.38,62.62,52.62,0.0
Armastradba,,Padrão,1.0,1,95.0,0.0,0.0,0.0,0.0
AD/PS*BR,,Padrão,1.0,1,79.8,0.0,0.0,0.0,0.0
ADPS*BR,361408826,Prateleira Shampoo Adesivo Banheiro Astra Branco,1.0,1,74.0,28.0,46.0,62.16,0.0
COR2,341681056,Caixa Correios Embutir 33x26x11 Cm COR2 Fercar,1.0,1,65.8,43.08,22.72,34.53,0.0
kit-vedant-100,,Aquatools Kit 2 Vedantes Porta Rodo Vedador 70/80/90/100cm Alumínio,1.0,1,45.0,0.0,0.0,0.0,0.0
QK-282I-QOIO,,"Robust Alicate Universal 8 Polegadas, Aço Forjado, Cabo Ergonômico, Uso Profissional",1.0,1,39.0,0.0,0.0,0.0,0.0
8M-MFX2-3HRZ,,"Astra TPJ/AS*BR1 Assento Sanitário Soft, Branco",1.0,1,36.9,0.0,0.0,0.0,0.0
REGUA5TOMADA,362724709,Tomada Barra Multipla Régua extensão 20A Quintupla CINZA,1.0,1,36.62,13.33,23.29,63.6,0.0
1C7Q-LKVY-TGBG,342904166,Chave Soquete Tipo T 13mm Aquatools,1.0,1,35.0,9.46,25.54,72.97,0.0
PC-MFZR-W69S,,Massa F12 para Calafetar Madeira 400g Marfim,1.0,1,23.43,0.0,0.0,0.0,0.0
VASOPLANTASJAPI,341844041,Vaso Plantas Decorativo Japi Unique 16 14x16cm Preto,1.0,1,20.8,7.0,13.8,66.35,0.0
